AGAF, Afutara Aerodrome
HTUR, Urambo Airport
HTUT, Utete Airport
HTUV, Uvinza Airport
HTWK, West Kilimanjaro Airport
HTZA, Zanzibar Airport
HUAJ, Adjumani Airport
HUAR, Arua Airport
HUEN, Entebbe International Airport
HUGU, Gulu Airport
HUJI, Jinja Airport
HUKB, Kabale Airport
HUKF, Kabalega Falls Airport
HUKS, Kasese Airport
HULI, Lira Airport
HUMA, Mbarara Airport
HUMI, Masindi Airport
HUPA, Pakuba Airport
HUSO, Soroti Airport
HUTO, Tororo Airport
KAAA, Logan County Airport
KAAF, Apalachicola Regional Airport
KAAO, Colonel James Jabara Airport
KAAS, Taylor County Airport
KAAT, Alturas Municipal Airport
KABE, Lehigh Valley International Airport
KABI, Abilene Regional Airport
KABQ, Albuquerque International Sunport Airport
KABR, Aberdeen Regional Airport
KABY, Southwest Georgia Regional Airport
KACB, Antrim County Airport
KACJ, Souther Field
KACK, Nantucket Memorial Airport
KACP, Allen Parish Airport
KACQ, Waseca Municipal Airport
KACT, Waco Regional Airport
KACV, Arcata Airport
KACY, Atlantic City International Airport
KACZ, Henderson Field
KADC, Wadena Municipal Airport
KADG, Lenawee County Airport
KADH, Ada Municipal Airport
KADM, Ardmore Municipal Airport
KADS, Addison Airport
KADT, Atwood-Rawlins County City Airport
KADU, Audubon County Airport
KADW, Andrews Air Force Base
KAEG, Double Eagle II Airport
KAEJ, Central Colorado Regional Airport
KAEL, Albert Lea Municipal Airport
KAEX, Alexandria International Airport
KAFF, USAF Academy Airfield
KAFJ, Washington County Airport
KAFK, Nebraska City Municipal Airport
KAFN, Jaffrey Airport Silver Ranch Airport
KAFO, Afton Municipal Airport
KAFP, Anson County Airport
KAFW, Fort Worth Alliance Airport
KAGC, Allegheny County Airport
KAGO, Magnolia Municipal Airport
KAGR, MacDill Air Force Base Auxiliary Field
KAGS, Augusta Regional At Bush Field
KAGZ, Wagner Municipal Airport
KAHC, Amedee Army Air Field
KAHH, Amery Municipal Airport
KAHN, Athens Ben Epps Airport
KAHQ, Wahoo Municipal Airport
KAIA, Alliance Municipal Airport
KAIB, Hopkins Field
KAID, Anderson Municipal Darlington Field
KAIG, Langlade County Airport
KAIK, Aiken Municipal Airport
KAIO, Atlantic Municipal Airport
KAIT, Aitkin Municipal Steve Kurtz Field
KAIV, George Downer Airport
KAIZ, Lee C Fine Memorial Airport
KAJG, Mount Carmel Municipal Airport
KAJO, Corona Municipal Airport
KAJR, Habersham County Airport
KAJZ, Blake Field
KAKH, Gastonia Municipal Airport
KAKO, Colorado Plains Regional Airport
KAKQ, Wakefield Municipal Airport
KAKR, Akron Fulton International Airport
KALB, Albany International Airport
KALI, Alice International Airport
KALM, Alamogordo White Sands Regional Airport
KALN, St Louis Regional Airport
KALO, Waterloo Regional Airport
KALS, San Luis Valley Regional Bergman Field
KALW, Walla Walla Regional Airport
KAMA, Rick Husband Amarillo International Airport
KAMG, Bacon County Airport
KAMN, RPD Airport
KAMT, Alexander Salamon Airport
KAMW, Ames Municipal Airport
KANB, Anniston Metropolitan Airport
KAND, Anderson Regional Airport
KANE, Anoka County-Blaine Arpt(Janes Field) Airport
KANJ, Sault Ste Marie Municipal Sanderson Field
KANK, Harriet Alexander Field
KANP, Lee Airport
KANQ, Tri State Steuben County Airport
KANW, Ainsworth Municipal Airport
KANY, Anthony Municipal Airport
KAOC, Arco Butte County Airport
KAOH, Lima Allen County Airport
KAOO, Altoona Blair County Airport
KAOV, Ava Bill Martin Memorial Airport
KAPA, Centennial Airport
KAPC, Napa County Airport
KAPF, Naples Municipal Airport
KAPG, Phillips Army Air Field
KAPH, A P Hill Aaf (Fort A P Hill) Airport
KAPN, Alpena County Regional Airport
KAPT, Marion County Brown Field
KAPV, Apple Valley Airport
KAPY, Zapata County Airport
KAQO, Llano Municipal Airport
KAQP, Appleton Municipal Airport
KAQR, Atoka Municipal Airport
KAQW, Harriman and West Airport
KARA, Acadiana Regional Airport
KARB, Ann Arbor Municipal Airport
KARG, Walnut Ridge Regional Airport
KARM, Wharton Regional Airport
KARR, Aurora Municipal Airport
KART, Watertown International Airport
KARV, Lakeland-Noble F. Lee Memorial field
KARW, Beaufort County Airport
KASD, Slidell Airport
KASE, Aspen-Pitkin Co/Sardy Field
KASG, Springdale Municipal Airport
KASH, Boire Field
KASJ, Tri County Airport
KASL, Harrison County Airport
KASN, Talladega Municipal Airport
KAST, Astoria Regional Airport
KASW, Warsaw Municipal Airport
KASX, John F Kennedy Memorial Airport
KASY, Ashley Municipal Airport
KATA, Hall Miller Municipal Airport
KATL, Hartsfield Jackson Atlanta International Airport
KATS, Artesia Municipal Airport
KATW, Outagamie County Regional Airport
KATY, Watertown Regional Airport
KAUG, Augusta State Airport
KAUH, Aurora Municipal Al Potter Field
KAUM, Austin Municipal Airport
KAUN, Auburn Municipal Airport
KAUO, Auburn Opelika Robert G. Pitts Airport
KAUS, Austin Bergstrom International Airport
KAUW, Wausau Downtown Airport
KAVC, Mecklenburg Brunswick Regional Airport
KAVK, Alva Regional Airport
KAVL, Asheville Regional Airport
KAVO, Avon Park Executive Airport
KAVP, Wilkes Barre Scranton International Airport
KAVQ, Marana Regional Airport
KAVX, Catalina Airport
KAWG, Washington Municipal Airport
KAWM, West Memphis Municipal Airport
KAWO, Arlington Municipal Airport
KAXA, Algona Municipal Airport
KAXH, Houston Southwest Airport
KAXN, Chandler Field
KAXQ, Clarion County Airport
KAXS, Altus Quartz Mountain Regional Airport
KAXV, Neil Armstrong Airport
KAXX, Angel Fire Airport
KAYS, Waycross Ware County Airport
KAYX, Arnold Air Force Base
KAZC, Colorado City Municipal Airport
KAZE, Hazlehurst Airport
KAZO, Kalamazoo Battle Creek International Airport
KBAB, Beale Air Force Base
KBAD, Barksdale Air Force Base
KBAF, Barnes Municipal Airport
KBAK, Columbus Municipal Airport
KBAM, Battle Mountain Airport
KBAX, Huron County Memorial Airport
KBAZ, New Braunfels Municipal Airport
KBBB, Benson Municipal Airport
KBBD, Curtis Field
KBBG, Branson Airport
KBBP, Marlboro County Jetport H.E. Avent Field
KBBW, Broken Bow Municipal Airport
KBCB, Virginia Tech Montgomery Executive Airport
KBCE, Bryce Canyon Airport
KBCK, Black River Falls Area Airport
KBCT, Boca Raton Airport
KBDE, Baudette International Airport
KBDG, Blanding Municipal Airport
KBDH, Willmar Municipal -John L Rice Field
KBDJ, Boulder Junction Airport
KBDL, Bradley International Airport
KBDN, Bend Municipal Airport
KBDQ, Morrilton Municipal Airport
KBDR, Igor I Sikorsky Memorial Airport
KBDU, Boulder Municipal Airport
KBEA, Beeville Municipal Airport
KBEC, Beech Factory Airport
KBED, Laurence G Hanscom Field
KBEH, Southwest Michigan Regional Airport
KBFA, Boyne Mountain Airport
KBFD, Bradford Regional Airport
KBFE, Terry County Airport
KBFF, Western Neb. Rgnl/William B. Heilig Airport
KBFI, Boeing Field King County International Airport
KBFK, Buffalo Municipal Airport
KBFL, Meadows Field
KBFM, Mobile Downtown Airport
KBFR, Virgil I Grissom Municipal Airport
KBFW, Silver Bay Municipal Airport
KBGD, Hutchinson County Airport
KBGE, Decatur County Industrial Air Park
KBGF, Winchester Municipal Airport
KBGM, Greater Binghamton/Edwin A Link field
KBGR, Bangor International Airport
KBHB, Hancock County-Bar Harbor Airport
KBHC, Baxley Municipal Airport
KBHK, Baker Municipal Airport
KBHM, Birmingham-Shuttlesworth International Airport
KBID, Block Island State Airport
KBIE, Beatrice Municipal Airport
KBIF, Biggs Army Air Field (Fort Bliss)
KBIH, Eastern Sierra Regional Airport
KBIJ, Early County Airport
KBIL, Billings Logan International Airport
KBIS, Bismarck Municipal Airport
KBIV, Tulip City Airport
KBIX, Keesler Air Force Base
KBJC, Rocky Mountain Metropolitan Airport
KBJI, Bemidji Regional Airport
KBJJ, Wayne County Airport
KBKD, Stephens County Airport
KBKE, Baker City Municipal Airport
KBKF, Buckley Air Force Base
KBKL, Burke Lakefront Airport
KBKN, Blackwell Tonkawa Municipal Airport
KBKS, Brooks County Airport
KBKT, Allen C Perkinson Blackstone Army Air Field
KBKV, Hernando County Airport
KBKW, Raleigh County Memorial Airport
KBKX, Brookings Regional Airport
KBLF, Mercer County Airport
KBLH, Blythe Airport
KBLI, Bellingham International Airport
KBLM, Monmouth Executive Airport
KBLU, Blue Canyon Nyack Airport
KBLV, Scott AFB/Midamerica Airport
KBMC, Brigham City Airport
KBMG, Monroe County Airport
KBMI, Central Illinois Regional Airport at Bloomington-Normal
KBML, Berlin Regional Airport
KBMQ, Burnet Municipal Kate Craddock Field
KBMT, Beaumont Municipal Airport
KBNA, Nashville International Airport
KBNG, Banning Municipal Airport
KBNL, Barnwell Regional Airport
KBNO, Burns Municipal Airport
KBNW, Boone Municipal Airport
KBOI, Boise Air Terminal/Gowen field
KBOS, General Edward Lawrence Logan International Airport
KBOW, Bartow Municipal Airport
KBPG, Big Spring Mc Mahon-Wrinkle Airport
KBPI, Miley Memorial Field
KBPK, Ozark Regional Airport
KBPP, Bowman Municipal Airport
KBPT, Southeast Texas Regional Airport
KBQK, Brunswick Golden Isles Airport
KBQP, Morehouse Memorial Airport
KBQR, Buffalo Lancaster Regional Airport
KBRD, Brainerd Lakes Regional Airport
KBRL, Southeast Iowa Regional Airport
KBRO, Brownsville South Padre Island International Airport
KBRY, Samuels Field
KBST, Belfast Municipal Airport
KBTA, Blair Municipal Airport
KBTF, Skypark Airport
KBTL, W K Kellogg Airport
KBTM, Bert Mooney Airport
KBTN, Britton Municipal Airport
KBTP, Butler County-K W Scholter Field
KBTR, Baton Rouge Metropolitan Ryan Field
KBTV, Burlington International Airport
KBTY, Beatty Airport
KBUB, Cram Field
KBUF, Buffalo Niagara International Airport
KBUM, Butler Memorial Airport
KBUR, Bob Hope Airport
KBUU, Burlington Municipal Airport
KBUY, Burlington Alamance Regional Airport
KBVI, Beaver County Airport
KBVN, Albion Municipal Airport
KBVO, Bartlesville Municipal Airport
KBVS, Skagit Regional Airport
KBVU, Boulder City Municipal Airport
KBVX, Batesville Regional Airport
KBVY, Beverly Municipal Airport
KBWC, Brawley Municipal Airport
KBWD, Brownwood Regional Airport
KBWG, Bowling Green Warren County Regional Airport
KBWI, Baltimore/Washington International Thurgood Marshal Airport
KBWP, Harry Stern Airport
KBXA, George R Carr Memorial Air Field
KBXG, Burke County Airport
KBXK, Buckeye Municipal Airport
KBYG, Johnson County Airport
KBYH, Arkansas International Airport
KBYI, Burley Municipal Airport
KBYS, Bicycle Lake Army Air Field
KBYY, Bay City Municipal Airport
KBZN, Gallatin Field
KCAD, Wexford County Airport
KCAE, Columbia Metropolitan Airport
KCAG, Craig Moffat Airport
KCAK, Akron Canton Regional Airport
KCAO, Clayton Municipal Airpark
KCAR, Caribou Municipal Airport
KCAV, Clarion Municipal Airport
KCBE, Greater Cumberland Regional Airport
KCBF, Council Bluffs Municipal Airport
KCBG, Cambridge Municipal Airport
KCBK, Shalz Field
KCBM, Columbus Air Force Base
KCCA, Clinton Municipal Airport
KCCB, Cable Airport
KCCO, Newnan Coweta County Airport
KCCR, Buchanan Field
KCCY, Northeast Iowa Regional Airport
KCDA, Caledonia County Airport
KCDC, Cedar City Regional Airport
KCDH, Harrell Field
KCDI, Cambridge Municipal Airport
KCDK, George T Lewis Airport
KCDN, Woodward Field
KCDR, Chadron Municipal Airport
KCDS, Childress Municipal Airport
KCDW, Essex County Airport
KCEA, Cessna Acft Field
KCEC, Jack Mc Namara Field Airport
KCEF, Westover ARB/Metropolitan Airport
KCEK, Crete Municipal Airport
KCEU, Oconee County Regional Airport
KCEV, Mettel Field
KCEW, Bob Sikes Airport
KCEY, Kyle Oakley Field
KCEZ, Cortez Municipal Airport
KCFD, Coulter Field
KCFE, Buffalo Municipal Airport
KCFJ, Crawfordsville Municipal Airport
KCFS, Tuscola Area Airport
KCFT, Greenlee County Airport
KCFV, Coffeyville Municipal Airport
KCGC, Crystal River Airport
KCGE, Cambridge Dorchester Airport
KCGF, Cuyahoga County Airport
KCGI, Cape Girardeau Regional Airport
KCGS, College Park Airport
KCGZ, Casa Grande Municipal Airport
KCHA, Lovell Field
KCHD, Chandler Municipal Airport
KCHK, Chickasha Municipal Airport
KCHN, Wauchula Municipal Airport
KCHO, Charlottesville Albemarle Airport
KCHQ, Mississippi County Airport
KCHS, Charleston Air Force Base-International Airport
KCHT, Chillicothe Municipal Airport
KCHU, Houston County Airport
KCIC, Chico Municipal Airport
KCID, The Eastern Iowa Airport
KCII, Choteau Airport
KCIN, Arthur N Neu Airport
KCIR, Cairo Regional Airport
KCIU, Chippewa County International Airport
KCJJ, Ellen Church Field
KCJR, Culpeper Regional Airport
KCKA, Kegelman Af Aux Field
KCKB, North Central West Virginia Airport
KCKC, Grand Marais Cook County Airport
KCKF, Crisp County Cordele Airport
KCKI, Williamsburg Regional Airport
KCKM, Fletcher Field
KCKN, Crookston Municipal Kirkwood Field
KCKP, Cherokee County Regional Airport
KCKV, Outlaw Field
KCKZ, Pennridge Airport
KCLE, Cleveland Hopkins International Airport
KCLI, Clintonville Municipal Airport
KCLK, Clinton Regional Airport
KCLL, Easterwood Field
KCLM, William R Fairchild International Airport
KCLR, Cliff Hatfield Memorial Airport
KCLS, Chehalis Centralia Airport
KCLT, Charlotte Douglas International Airport
KCLW, Clearwater Air Park
KCMA, Camarillo Airport
KCMH, Port Columbus International Airport
KCMI, University of Illinois Willard Airport
KCMR, H.A. Clark Memorial Field
KCMX, Houghton County Memorial Airport
KCMY, Sparta Fort Mc Coy Airport
KCNB, Myers Field
KCNC, Chariton Municipal Airport
KCNH, Claremont Municipal Airport
KCNK, Blosser Municipal Airport
KCNM, Cavern City Air Terminal
KCNO, Chino Airport
KCNP, Billy G Ray Field
KCNU, Chanute Martin Johnson Airport
KCNW, TSTC Waco Airport
KCNY, Canyonlands Field
KCOD, Yellowstone Regional Airport
KCOE, Coeur D'Alene - Pappy Boyington Field
KCOF, Patrick Air Force Base
KCOI, Merritt Island Airport
KCOM, Coleman Municipal Airport
KCON, Concord Municipal Airport
KCOQ, Cloquet Carlton County Airport
KCOS, City of Colorado Springs Municipal Airport
KCOT, Cotulla-La Salle County
KCOU, Columbia Regional Airport
KCPC, Columbus County Municipal Airport
KCPK, Chesapeake Regional Airport
KCPM, Compton Woodley Airport
KCPR, Casper-Natrona County International Airport
KCPS, St Louis Downtown Airport
KCPT, Cleburne Municipal Airport
KCPU, Calaveras Co Maury Rasmussen Field
KCQA, Lakefield Airport
KCQB, Chandler Regional Airport
KCQM, Cook Municipal Airport
KCQW, Cheraw Municipal Lynch Bellinger Field
KCQX, Chatham Municipal Airport
KCRE, Grand Strand Airport
KCRG, Craig Municipal Airport
KCRO, Corcoran Airport
KCRP, Corpus Christi International Airport
KCRQ, Mc Clellan-Palomar Airport
KCRS, C David Campbell Field Corsicana Municipal Airport
KCRT, Z M Jack Stell Field
KCRW, Yeager Airport
KCRX, Roscoe Turner Airport
KCRZ, Corning Municipal Airport
KCSB, Cambridge Municipal Airport
KCSG, Columbus Metropolitan Airport
KCSM, Clinton Sherman Airport
KCSQ, Creston Municipal Airport
KCSV, Crossville Memorial Whitson Field
KCTB, Cut Bank Municipal Airport
KCTJ, West Georgia Regional O V Gray Field
KCTK, Ingersoll Airport
KCTY, Cross City Airport
KCTZ, Sampson County Airport
KCUB, Jim Hamilton L.B. Owens Airport
KCUH, Cushing Municipal Airport
KCUL, Carmi Municipal Airport
KCUT, Custer County Airport
KCVB, Castroville Municipal Airport
KCVG, Cincinnati Northern Kentucky International Airport
KCVH, Hollister Municipal Airport
KCVK, Sharp County Regional Airport
KCVN, Clovis Municipal Airport
KCVO, Corvallis Municipal Airport
KCVS, Cannon Air Force Base
KCVX, Charlevoix Municipal Airport
KCWA, Central Wisconsin Airport
KCWC, Kickapoo Downtown Airport
KCWF, Chennault International Airport
KCWI, Clinton Municipal Airport
KCWS, Dennis F Cantrell Field
KCWV, Claxton Evans County Airport
KCXE, Chase City Municipal Airport
KCXL, Calexico International Airport
KCXO, Lone Star Executive Airport
KCXP, Carson Airport
KCXU, Camilla Mitchell County Airport
KCXY, Capital City Airport
KCYO, Pickaway County Memorial Airport
KCYS, Cheyenne Regional Jerry Olson Field
KCYW, Clay Center Municipal Airport
KCZD, Cozad Municipal Airport
KCZG, Tri Cities Airport
KCZL, Tom B. David Field
KCZT, Dimmit County Airport
KDAA, Davison Army Air Field
KDAB, Daytona Beach International Airport
KDAF, Necedah Airport
KDAG, Barstow Daggett Airport
KDAL, Dallas Love Field
KDAN, Danville Regional Airport
KDAW, Skyhaven Airport
KDAY, James M Cox Dayton International Airport
KDBN, W H 'Bud' Barron Airport
KDBQ, Dubuque Regional Airport
KDCA, Ronald Reagan Washington National Airport
KDCM, Chester Catawba Regional Airport
KDCU, Pryor Field Regional Airport
KDCY, Daviess County Airport
KDDC, Dodge City Regional Airport
KDDH, William H. Morse State Airport
KDEC, Decatur Airport
KDED, Deland Municipal Sidney H Taylor Field
KDEH, Decorah Municipal Airport
KDEN, Denver International Airport
KDEQ, J Lynn Helms Sevier County Airport
KDET, Coleman A. Young Municipal Airport
KDEW, Deer Park Airport
KDFI, Defiance Memorial Airport
KDFW, Dallas Fort Worth International Airport
KDGL, Douglas Municipal Airport
KDGW, Converse County Airport
KDHN, Dothan Regional Airport
KDHT, Dalhart Municipal Airport
KDIJ, Driggs Reed Memorial Airport
KDIK, Dickinson Theodore Roosevelt Regional Airport
KDKB, De Kalb Taylor Municipal Airport
KDKK, Chautauqua County-Dunkirk Airport
KDKR, Houston County Airport
KDKX, Knoxville Downtown Island Airport
KDLC, Dillon County Airport
KDLF, Laughlin Air Force Base
KDLH, Duluth International Airport
KDLL, Baraboo Wisconsin Dells Airport
KDLN, Dillon Airport
KDLO, Delano Municipal Airport
KDLS, Columbia Gorge Regional the Dalles Municipal Airport
KDLZ, Delaware Municipal Airport
KDMA, Davis Monthan Air Force Base
KDMN, Deming Municipal Airport
KDMO, Sedalia Memorial Airport
KDMW, Carroll County Regional Jack B Poage Field
KDNL, Daniel Field
KDNN, Dalton Municipal Airport
KDNS, Denison Municipal Airport
KDNV, Vermilion Regional Airport
KDOV, Dover Air Force Base
KDPA, Dupage Airport
KDPG, Michael AAF (Dugway Proving Ground) Airport
KDPL, Duplin County Airport
KDQH, Douglas Municipal Airport
KDRA, Desert Rock Airport
KDRI, Beauregard Regional Airport
KDRM, Drummond Island Airport
KDRO, Durango La Plata County Airport
KDRT, Del Rio International Airport
KDSM, Des Moines International Airport
KDSV, Dansville Municipal Airport
KDTA, Delta Municipal Airport
KDTG, Dwight Airport
KDTL, Detroit Lakes Airport - Wething Field
KDTN, Shreveport Downtown Airport
KDTO, Denton Municipal Airport
KDTS, Destin Fort Walton Beach Airport
KDTW, Detroit Metropolitan Wayne County Airport
KDUA, Eaker Field
KDUC, Halliburton Field
KDUG, Bisbee Douglas International Airport
KDUH, Toledo Suburban Airport
KDUJ, DuBois Regional Airport
KDUX, Moore County Airport
KDVK, Stuart Powell Field
KDVL, Devils Lake Regional Airport
KDVN, Davenport Municipal Airport
KDVO, Gnoss Field
KDVP, Slayton Municipal Airport
KDVT, Phoenix Deer Valley Airport
KDWA, Yolo County Davis Woodland Winters Airport
KDWH, David Wayne Hooks Memorial Airport
KDWU, Ashland Regional Airport
KDXE, Dexter Municipal Airport
KDXR, Danbury Municipal Airport
KDXX, Lac Qui Parle County Airport
KDYA, Demopolis Municipal Airport
KDYB, Summerville Airport
KDYL, Doylestown Airport
KDYR, Dyersburg Regional Airport
KDYS, Dyess Air Force Base
KDYT, Sky Harbor Airport
KDZB, Horseshoe Bay Resort Airpark
KDZJ, Blairsville Airport
KEAG, Eagle Grove Municipal Airport
KEAN, Phifer Airfield
KEAR, Kearney Regional Airport
KEAT, Pangborn Memorial Airport
KEAU, Chippewa Valley Regional Airport
KEBG, South Texas International At Edinburg Airport
KEBS, Webster City Municipal Airport
KECG, Elizabeth City Regional Airport & Coast Guard Air Station
KECP, Northwest Florida Beaches International Airport
KECS, Mondell Field
KECU, Edwards County Airport
KEDE, Northeastern Regional Airport
KEDG, Weide Ahp (Aberdeen Proving Ground) Heliport
KEDJ, Bellefontaine Regional Airport
KEDN, Enterprise Municipal Airport
KEDU, University Airport
KEDW, Edwards Air Force Base
KEED, Needles Airport
KEEN, Dillant Hopkins Airport
KEEO, Meeker Airport
KEET, Shelby County Airport
KEFC, Belle Fourche Municipal Airport
KEFD, Ellington Field
KEFK, Newport State Airport
KEFT, Monroe Municipal Airport
KEFW, Jefferson Municipal Airport
KEGE, Eagle County Regional Airport
KEGI, Duke Field(Eglin Af Aux Nr 3) Airport
KEGQ, Emmetsburg Municipal Airport
KEGT, Wellington Municipal Airport
KEGV, Eagle River Union Airport
KEHA, Elkhart Morton County Airport
KEHO, Shelby-Cleveland County Regional Airport
KEHR, Henderson City County Airport
KEIK, Erie Municipal Airport
KEIW, County Memorial Airport
KEKA, Murray Field
KEKM, Elkhart Municipal Airport
KEKN, Elkins-Randolph Co-Jennings Randolph Field
KEKO, Elko Regional Airport
KEKQ, Wayne County Airport
KEKS, Ennis Big Sky Airport
KEKX, Addington Field
KEKY, Bessemer Airport
KELA, Eagle Lake Airport
KELD, South Arkansas Regional At Goodwin Field
KELK, Elk City Regional Business Airport
KELM, Elmira Corning Regional Airport
KELN, Bowers Field
KELO, Ely Municipal Airport
KELP, El Paso International Airport
KELY, Ely Airport Yelland Field
KELZ, Wellsville Municipal ArptTarantine Field
KEMM, Kemmerer Municipal Airport
KEMP, Emporia Municipal Airport
KEMT, El Monte Airport
KEMV, Emporia Greensville Regional Airport
KEND, Vance Air Force Base
KENL, Centralia Municipal Airport
KENV, Wendover Airport
KENW, Kenosha Regional Airport
KEOE, Newberry County Airport
KEOK, Keokuk Municipal Airport
KEOP, Pike County Airport
KEOS, Neosho Hugh Robinson Airport
KEPH, Ephrata Municipal Airport
KEPM, Eastport Municipal Airport
KEQA, Captain Jack Thomas El Dorado Airport
KEQY, Charlotte-Monroe Executive Airport
KERI, Erie International Tom Ridge Field
KERR, Errol Airport
KERV, Kerrville Municipal Louis Schreiner Field
KERY, Luce County Airport
KESC, Delta County Airport
KESF, Esler Regional Airport
KESN, Easton Newnam Field
KEST, Estherville Municipal Airport
KESW, Easton State Airport
KETB, West Bend Municipal Airport
KETC, Tarboro Edgecombe Airport
KETH, Wheaton Municipal Airport
KETN, Eastland Municipal Airport
KEUF, Weedon Field
KEUG, Mahlon Sweet Field
KEUL, Caldwell Industrial Airport
